epoch,vf-min,discriminator_reward-min,gmm-log-sigs-mean,gmm-log-sigs-max,gmm-log-sigs-min,gmm-mus-min,log_p_z-max,gmm-mus-std,log_p_z-avg,discriminator-loss,qf-min,time-train,time-eval,qf-max,z-entropy,vf-std,best_single_option_policy/episode-length-avg,log_p_z-min,discriminator_reward-max,gmm-log-w-max,pool-size,gmm-mus-max,max-path-return,best_single_option_policy/return-max,qf-avg,gmm-log-w-mean,vf-max,best_single_option_policy/return-average,last-path-return,best_single_option_policy/episode-length-max,discriminator_reward-avg,vf-loss,time-sample,gmm-log-sigs-std,best_single_option_policy/return-min,qf-std,policy-reg-loss,best_single_option_policy/episode-length-min,bellman-error,best_single_option_policy/episode-length-std,log_p_z-std,time-total,kl-surrogate-loss,best_single_option_policy/return-std,vf-avg,gmm-log-w-min,path-length,episodes,gmm-log-w-std,gmm-mus-mean,discriminator_reward-std
10,311.53668,-3.9536185,-0.002892932,0.57028294,-0.5986118,-0.07036099,-3.911973,0.015442568,-3.9119723,2.0728054,304.00082,6.985342769883573,1.1981550119817257,427.6381,3.9120230054281455,41.55384,1000.0,-3.911973,-0.4281608,1.4447479,11000,0.01020471,-32.26827352517243,-0.0352870623806286,372.70468,0.18255048,434.82193,-0.0352870623806286,-33.721898203665184,1000,-2.0728054,0.04502774,0.7063553305342793,0.41047513,-0.0352870623806286,41.5404,8.4397914e-05,1000,0.011567272,0.0,7.1525574e-07,714.0684032961726,-0.20830405,0.0,379.81757,-1.8652709,1000.0,11,1.1151826,-0.0076879524,0.6058875
11,346.8809,-4.070109,-0.008022212,0.543175,-0.59893906,-0.03427724,-3.911973,0.008790359,-3.9119723,2.0578375,340.43918,6.099503854289651,308.9081895733252,452.45712,3.9120230054281455,39.669983,1000.0,-3.911973,-0.49665582,1.3528857,12000,0.029001879,-32.26827352517243,-0.0021681303685301854,405.9484,0.17649822,459.0278,-0.0021681303685301854,-34.50115791426828,1000,-2.0578375,0.17780781,0.6791864326223731,0.4072363,-0.0021681303685301854,39.63841,8.299521e-05,1000,0.017656518,0.0,7.1525574e-07,721.8737164419144,0.7102302,0.0,412.30826,-1.7190474,1000.0,12,1.0556595,0.0027263123,0.63271654
12,344.98065,-3.94561,-0.0020596804,0.6138048,-0.60139847,-0.022257648,-3.911973,0.0107238665,-3.9119723,1.9794674,337.5567,5.724940764717758,1.0315434271469712,474.39685,3.9120230054281455,38.224167,1000.0,-3.911973,-0.35282487,1.3407943,13000,0.04704954,-31.51777607870651,-0.00099718416509873,422.80707,0.17321126,481.53137,-0.00099718416509873,-31.51777607870651,1000,-1.9794674,0.02852989,0.6217848174273968,0.41213503,-0.00099718416509873,38.29549,8.4989195e-05,1000,0.0039480496,0.0,7.1525574e-07,729.2818404529244,-0.2638656,0.0,429.94238,-1.7082373,1000.0,13,1.0628752,0.0019694841,0.7141986
13,367.3442,-3.9997404,-0.01590629,0.5252015,-0.59493065,-0.038651943,-3.911973,0.007941336,-3.9119723,2.2048643,359.68796,6.26229006703943,1.0695626996457577,494.35745,3.9120230054281455,44.81542,1000.0,-3.911973,-1.0933621,1.3086909,14000,0.02231629,-31.51777607870651,-0.000523634830641484,443.41382,0.16475482,501.3694,-0.000523634830641484,-34.24208558322373,1000,-2.204864,0.021089753,0.6855310751125216,0.3998832,-0.000523634830641484,44.92282,8.011134e-05,1000,0.0020078202,0.0,7.1525574e-07,737.1066839788109,-0.043719247,0.0,450.36783,-1.6329495,1000.0,14,1.0087024,0.00015067728,0.56476074
14,396.88394,-3.938068,-0.023177188,0.54869837,-0.5973201,-0.021504842,-3.911973,0.007494218,-3.9119723,2.1273637,389.85306,6.232493657618761,0.8783103059977293,512.8881,3.9120230054281455,39.29494,1000.0,-3.911973,-0.0006129055,1.2927238,15000,0.01813508,-31.51777607870651,-0.003516500414559687,468.0517,0.1591895,520.2334,-0.003516500414559687,-33.9724899408149,1000,-2.1273637,0.043996647,0.6537500144913793,0.39549443,-0.003516500414559687,39.264584,7.8505e-05,1000,0.0066729197,0.0,7.1525574e-07,744.9214511858299,-0.32910547,0.0,475.2423,-1.5771482,1000.0,15,0.95155054,0.0008966194,0.6894306
15,425.0408,-3.9553328,-0.030280676,0.5155716,-0.60413885,-0.0101324245,-3.911973,0.0049694115,-3.9119723,2.060811,417.5325,5.95325599424541,0.9199714595451951,529.4537,3.9120230054281455,37.821766,1000.0,-3.911973,-0.6175129,1.2417815,16000,0.023581585,-31.51777607870651,-0.0007613918793420993,485.9212,0.15337843,536.2729,-0.0007613918793420993,-34.32761992268391,1000,-2.060811,0.016130708,0.658665981143713,0.3918901,-0.0007613918793420993,37.817726,7.7260695e-05,1000,0.008369384,0.0,7.1525574e-07,752.5851846411824,-0.08346699,0.0,492.89963,-1.51182,1000.0,16,0.9085037,0.0013789292,0.6631428
16,397.0427,-4.2079287,-0.033949703,0.49051687,-0.59813815,-0.024665188,-3.911973,0.0068542217,-3.9119723,2.1561096,390.34216,5.988715796731412,1.0607714988291264,544.2175,3.9120230054281455,44.179104,1000.0,-3.911973,-0.5375306,1.1184914,17000,0.015556744,-31.51777607870651,-0.0054433473865152845,499.7235,0.1492991,550.489,-0.0054433473865152845,-34.13670139572584,1000,-2.1561096,0.100943044,0.6589326011016965,0.38847095,-0.0054433473865152845,44.330826,7.60547e-05,1000,0.023436632,0.0,7.1525574e-07,760.3046055492014,0.48148212,0.0,506.24948,-1.3968935,1000.0,17,0.8801547,-0.00043371896,0.66322356
17,424.96613,-4.0426197,-0.03665586,0.5212451,-0.6176237,-0.021129197,-3.911973,0.009993611,-3.9119723,2.2413328,418.18912,5.728359601460397,1.080623695626855,557.76794,3.9120230054281455,42.533173,1000.0,-3.911973,-0.51013494,1.1568036,18000,0.037483968,-31.51777607870651,-0.02793765743494916,510.4405,0.14923176,564.77606,-0.02793765743494916,-33.62058026711969,1000,-2.241333,0.048059598,0.6308020763099194,0.39391705,-0.02793765743494916,42.52177,7.832443e-05,1000,0.018453501,0.0,7.1525574e-07,767.723765780218,-0.18827273,0.0,517.5241,-1.4562316,1000.0,18,0.888965,0.005890847,0.7226542
18,437.7537,-5.2222586,-0.037998617,0.48406094,-0.59373415,-0.03178839,-3.911973,0.010204695,-3.9119723,2.3741503,430.50742,5.9289126778021455,1.0542364148423076,569.7883,3.9120230054281455,39.77162,1000.0,-3.911973,-0.5354427,1.0811293,19000,0.0137932915,-31.51777607870651,-0.03173274848243608,528.65576,0.1436179,576.6053,-0.03173274848243608,-33.19899260584588,1000,-2.3741503,0.039520696,0.6629331596195698,0.38825166,-0.03173274848243608,39.83683,7.615631e-05,1000,0.0051713083,0.0,7.1525574e-07,775.4343123687431,-0.32541397,0.0,535.7942,-1.3416822,1000.0,19,0.8547498,-0.005023987,0.8394479
19,446.20663,-6.295176,-0.032562237,0.588778,-0.61283475,-0.029607112,-3.911973,0.008697038,-3.9119723,2.500509,438.9693,6.021372152492404,1.127858911640942,580.2506,3.9120230054281455,44.880867,1000.0,-3.911973,-1.1920928e-07,1.3297133,20000,0.03478054,-31.51777607870651,-0.007096340870553419,524.13727,0.16061014,587.7137,-0.007096340870553419,-35.03584794972629,1000,-2.5005093,0.042382304,0.6554250586777925,0.40011233,-0.007096340870553419,44.79626,8.061291e-05,1000,0.011971043,0.0,7.1525574e-07,783.1755918841809,-0.29407027,0.0,531.2875,-1.6858314,1000.0,20,0.9629214,9.1640875e-05,1.1235712
20,469.0539,-8.05005,-0.030291084,0.5740939,-0.61635494,-0.025797185,-3.911973,0.0088616405,-3.9119723,2.5817604,462.43054,5.800103137269616,1.051102158613503,590.51166,3.9120230054281455,43.39242,1000.0,-3.911973,-0.625247,1.3433024,21000,0.048838865,-31.51777607870651,-0.052549141091810726,540.4231,0.16540875,596.998,-0.052549141091810726,-35.558693249122165,1000,-2.5817604,0.06531717,0.6077640978619456,0.4128736,-0.052549141091810726,43.3977,8.5730804e-05,1000,0.0077522392,0.0,7.1525574e-07,1101.670795862563,0.4472516,0.0,547.03644,-1.7296433,1000.0,21,1.0245004,0.0009707775,1.0003484
21,468.47525,-5.4167037,-0.031867906,0.53728783,-0.6143228,-0.04103227,-3.911973,0.011165304,-3.9119723,2.5130577,461.27112,5.912577443756163,312.0882988255471,599.44977,3.9120230054281455,41.926785,1000.0,-3.911973,-0.36630756,1.2940173,22000,0.01301111,-31.51777607870651,-0.14100120948608072,555.04224,0.16403373,606.5898,-0.14100120948608072,-32.976158599100835,1000,-2.5130575,0.025016941,0.661308329552412,0.40943435,-0.14100120948608072,41.95681,8.440097e-05,1000,0.0064416695,0.0,7.1525574e-07,1109.1968760313466,-0.116345406,0.0,562.07166,-1.6613865,1000.0,22,0.9998397,-0.0050200038,0.8555963
22,490.20938,-4.4187727,-0.03718133,0.51817405,-0.6080009,-0.03661961,-3.911973,0.009317431,-3.9119723,2.5001419,483.34433,6.19503834657371,0.9510368052870035,607.6978,3.9120230054281455,39.68292,1000.0,-3.911973,-0.33387032,1.239091,23000,0.013815348,-31.51777607870651,-0.1027049336065044,560.8407,0.15899569,614.26697,-0.1027049336065044,-33.518035726231254,1000,-2.5001419,0.047073938,0.6641427408903837,0.40163183,-0.1027049336065044,39.633865,8.1395396e-05,1000,0.016953448,0.0,7.1525574e-07,1117.1775710675865,0.28592283,0.0,567.5714,-1.5752264,1000.0,23,0.96214074,-0.003658583,0.8060347
23,485.66992,-12.063697,-0.042436585,0.5138355,-0.6274759,-0.019192997,-3.911973,0.005984259,-3.9119723,2.7829783,479.0884,5.987361489795148,1.1284266812726855,614.5171,3.9120230054281455,40.716213,1000.0,-3.911973,-3.5046916e-05,1.2008388,24000,0.021745794,-31.51777607870651,-0.01187921248399242,568.22327,0.15268737,621.77246,-0.01187921248399242,-33.84917202678818,1000,-2.782978,0.041583773,0.6549232667312026,0.40282056,-0.01187921248399242,40.658,8.2050756e-05,1000,0.020587362,0.0,7.1525574e-07,1124.9809054993093,-0.23204327,0.0,575.3208,-1.5155053,1000.0,24,0.94191194,-0.00064275635,1.3751141
24,506.11075,-5.7576237,-0.04060316,0.5142396,-0.6137882,-0.010742471,-3.911973,0.004931028,-3.9119723,2.6147032,498.7354,6.034314803779125,1.1611051000654697,621.0982,3.9120230054281455,33.04868,1000.0,-3.911973,-0.48755836,1.1915828,25000,0.018460982,-31.51777607870651,-0.002140062565333523,587.1381,0.14946872,628.109,-0.002140062565333523,-34.395549908376765,1000,-2.6147032,0.032570906,0.6396547136828303,0.40565342,-0.002140062565333523,33.037018,8.311427e-05,1000,0.015981115,0.0,7.1525574e-07,1132.6415678746998,-0.2501539,0.0,594.27295,-1.5272199,1000.0,25,0.94874156,0.00096979656,0.7470603
25,506.82504,-11.333248,-0.04336202,0.60918826,-0.72569674,-0.11156817,-3.911973,0.041520357,-3.9119723,2.7059076,499.98178,6.215730069205165,0.9823293732479215,627.1702,3.9120230054281455,36.03158,1000.0,-3.911973,-0.6810023,1.3909427,26000,0.016874278,-31.51777607870651,-0.9272774940322432,586.23145,0.15264566,634.0475,-0.9272774940322432,-34.51032698738742,1000,-2.7059078,0.011568518,0.6652811709791422,0.41435573,-0.9272774940322432,36.044888,8.788158e-05,1000,0.0028746962,0.0,7.1525574e-07,1140.6134614991024,0.0067458292,0.0,593.14954,-1.8287032,1000.0,26,0.9986047,-0.021639697,1.1525894
26,524.3841,-5.655938,-0.040794566,0.5303829,-0.61138636,-0.0158313,-3.911973,0.004523781,-3.9119723,2.7189937,517.218,6.3474487802013755,1.1047196546569467,632.49115,3.9120230054281455,32.623283,1000.0,-3.911973,-0.68976647,1.2079319,27000,0.017963234,-31.51777607870651,-0.000973574047883119,601.225,0.14757006,639.6982,-0.000973574047883119,-33.9476862649845,1000,-2.7189937,0.048308607,0.6726564867421985,0.4044997,-0.000973574047883119,32.637096,8.265237e-05,1000,0.009840796,0.0,7.1525574e-07,1148.6532294405624,-0.3345667,0.0,608.43555,-1.591439,1000.0,27,0.97207487,-0.00029732264,0.8163403
27,515.61273,-8.20031,-0.041765094,0.5323862,-0.62977093,-0.013231284,-3.911973,0.008143364,-3.9119723,2.689132,509.06183,6.257786652073264,1.0077994400635362,637.6599,3.9120230054281455,30.51899,1000.0,-3.911973,-0.0,1.148619,28000,0.024862682,-31.51777607870651,-0.002866890287481283,607.9553,0.14319625,644.51654,-0.002866890287481283,-34.82408667589148,1000,-2.6891317,0.018908672,0.6781042227521539,0.410136,-0.002866890287481283,30.531738,8.5017e-05,1000,0.0056113666,0.0,7.1525574e-07,1156.6627693595365,0.17182933,0.0,614.7457,-1.5053176,1000.0,28,0.9371917,0.0034361742,0.9329946
28,532.2317,-7.8715134,-0.044793345,0.53515685,-0.61761963,-0.015461685,-3.911973,0.004984248,-3.9119723,2.9468076,525.03735,6.299824675545096,1.081971637904644,641.5983,3.9120230054281455,33.87519,1000.0,-3.911973,-0.33321413,1.204701,29000,0.014602887,-31.51777607870651,-0.010053656884144857,604.40686,0.13832527,648.534,-0.010053656884144857,-33.77301335713733,1000,-2.9468079,0.021562917,0.6862076567485929,0.40358627,-0.010053656884144857,33.79359,8.245689e-05,1000,0.0057236324,0.0,7.1525574e-07,1164.7435113182291,-0.0046109725,0.0,611.35834,-1.6107188,1000.0,29,0.9467032,-0.0007843016,1.2095987
29,547.2368,-4.3445196,-0.04884596,0.5056995,-0.6196867,-0.011145111,-3.911973,0.0037149955,-3.9119723,2.8028889,540.2911,5.933906563557684,1.0942438943311572,645.9509,3.9120230054281455,30.230356,1000.0,-3.911973,-1.0065805,1.1314008,30000,0.009629753,-31.51777607870651,-0.002334223417682679,613.71655,0.13493904,652.97015,-0.002334223417682679,-34.248018735737425,1000,-2.8028889,0.0075409194,0.6386352125555277,0.40101823,-0.002334223417682679,30.222473,8.1609105e-05,1000,0.004476254,0.0,7.1525574e-07,1172.2750743757933,-0.019235142,0.0,620.681,-1.4883189,1000.0,30,0.90755445,-0.0016958914,0.7141635
30,536.6981,-9.782124,-0.044019602,0.51942897,-0.61533827,-0.027965456,-3.911973,0.0070526167,-3.9119723,2.99308,529.623,6.405343182384968,0.9568293439224362,649.4228,3.9120230054281455,34.826115,1000.0,-3.911973,-0.006457179,1.194539,31000,0.020297173,-31.51777607870651,-0.0012017787624373,616.5314,0.13645333,656.39484,-0.0012017787624373,-32.519362567622075,1000,-2.99308,0.012136289,0.692919047549367,0.4094579,-0.0012017787624373,34.89181,8.4823965e-05,1000,0.0027691587,0.0,7.1525574e-07,1502.5058871172369,-0.08906893,0.0,623.5409,-1.5838945,1000.0,31,0.9625699,-0.0021606088,1.2620071
31,551.2062,-5.0880756,-0.043448485,0.5471529,-0.62445116,-0.018040853,-3.911973,0.0049263216,-3.9119723,2.8311214,544.44073,6.358062407933176,323.13059667963535,652.95557,3.9120230054281455,27.272982,1000.0,-3.911973,-1.0762911,1.2837746,32000,0.015613003,-31.51777607870651,-0.0017796269272210453,626.4227,0.13723287,659.7645,-0.0017796269272210453,-33.40215759841906,1000,-2.8311214,0.016445274,0.691927308216691,0.41030496,-0.0017796269272210453,27.220669,8.5131134e-05,1000,0.0055021998,0.0,7.1525574e-07,1510.6094685485587,0.16444117,0.0,633.2525,-1.6673675,1000.0,32,0.9921293,-0.00029500003,0.7128923
32,554.1478,-9.411664,-0.048450254,0.5344618,-0.62201405,-0.0170249,-3.911973,0.0047660996,-3.9119723,2.8896165,547.42316,6.300546835176647,1.062994597479701,655.8094,3.9120230054281455,26.39718,1000.0,-3.911973,-0.5907807,1.2062196,33000,0.011163309,-31.51777607870651,-0.0002709320177203267,632.4403,0.13082299,662.6371,-0.0002709320177203267,-34.42863216575547,1000,-2.8896165,0.00851508,0.6855820780619979,0.40766534,-0.0002709320177203267,26.40218,8.428371e-05,1000,0.0018073644,0.0,7.1525574e-07,1518.6243922095746,0.06280073,0.0,639.3491,-1.5418811,1000.0,33,0.94021934,-0.0025013052,1.0846483
33,535.9448,-9.344279,-0.052355744,0.5050551,-0.6175609,-0.017953157,-3.911973,0.005205296,-3.9119723,2.9964967,528.64746,6.230921839363873,1.037670032121241,658.81586,3.9120230054281455,30.572777,1000.0,-3.911973,-0.4393925,1.1554573,34000,0.014237848,-31.51777607870651,-0.00013409958280732328,628.6875,0.12720697,665.2321,-0.00013409958280732328,-32.32033331621971,1000,-2.9964967,0.021612173,0.6806120937690139,0.39840415,-0.00013409958280732328,30.597221,8.075279e-05,1000,0.0057824305,0.0,7.1525574e-07,1526.6405758736655,0.0499356,0.0,635.6078,-1.4568082,1000.0,34,0.90078735,-0.0033873636,1.2239258
34,550.3835,-6.9929585,-0.055234924,0.5068987,-0.6359319,-0.019236695,-3.911973,0.003833051,-3.9119723,2.9819674,544.34235,5.864129605703056,1.1041158242151141,661.2901,3.9120230054281455,26.697262,1000.0,-3.911973,-1.1201117,1.1452508,35000,0.008659922,-31.51777607870651,-0.000732421336918776,635.8297,0.12825866,667.59863,-0.000732421336918776,-32.66905390933057,1000,-2.9819677,0.22000873,0.6252023726701736,0.40485188,-0.000732421336918776,26.602,8.349952e-05,1000,0.046219166,0.0,7.1525574e-07,1534.1026893984526,0.78468776,0.0,642.2313,-1.4332544,1000.0,35,0.8924199,-0.0053253793,0.97827715
35,563.05273,-6.3065996,-0.053363126,0.50929326,-0.639466,-0.01307478,-3.911973,0.0070025325,-3.9119723,3.0574594,556.64026,6.241328000091016,0.9593058908358216,662.70447,3.9120230054281455,24.711098,1000.0,-3.911973,-0.004942699,1.1452008,36000,0.022061653,-31.51777607870651,-0.023816320046721275,638.79395,0.124913394,669.64856,-0.023816320046721275,-34.2393693239257,1000,-3.0574594,0.05084198,0.6766471983864903,0.40520188,-0.023816320046721275,24.69512,8.3544495e-05,1000,0.008523984,0.0,7.1525574e-07,1542.0538342576474,0.27793056,0.0,645.54663,-1.4696317,1000.0,36,0.910619,0.001941893,0.9304111
36,558.12213,-11.371661,-0.05517522,0.4978589,-0.6200784,-0.014733547,-3.911973,0.0042580087,-3.9119723,3.2496548,551.50757,6.125881698913872,1.0456691049039364,664.9657,3.9120230054281455,29.085705,1000.0,-3.911973,-0.60509723,1.1064867,37000,0.013233308,-31.51777607870651,-0.0006911014416530747,639.9048,0.12193088,671.6709,-0.0006911014416530747,-32.82019606131565,1000,-3.249655,0.03457313,0.6586023205891252,0.4034421,-0.0006911014416530747,29.04901,8.291623e-05,1000,0.009486311,0.0,7.1525574e-07,1549.8171754404902,0.2698525,0.0,646.6892,-1.4263415,1000.0,37,0.9014348,-0.0021224583,1.7136765
37,549.691,-9.021561,-0.057615954,0.48924723,-0.62700766,-0.015224263,-3.911973,0.0059091114,-3.9119723,3.1268415,542.20087,6.652432736940682,0.9836166631430387,666.81775,3.9120230054281455,27.920832,1000.0,-3.911973,-0.59840685,1.0844616,38000,0.013336287,-31.51777607870651,-0.0073434808980834985,644.9636,0.11787036,673.4369,-0.0073434808980834985,-34.120774824942444,1000,-3.1268415,0.046653464,0.7272216947749257,0.39860302,-0.0073434808980834985,27.94973,8.112092e-05,1000,0.012748867,0.0,7.1525574e-07,1558.3059235438704,0.042709,0.0,651.84375,-1.37664,1000.0,38,0.85846126,-0.0017176066,1.3645717
38,555.373,-13.876664,-0.05988352,0.47539347,-0.6210972,-0.025252562,-3.911973,0.008302919,-3.9119723,3.513978,548.2862,6.095133889466524,1.095377474091947,668.1968,3.9120230054281455,32.505466,1000.0,-3.911973,-1.3365504,1.0401679,39000,0.016217276,-31.51777607870651,-0.0004940495473718443,641.7344,0.11449103,674.98785,-0.0004940495473718443,-33.4934839000208,1000,-3.5139778,0.024585316,0.6651447955518961,0.38956007,-0.0004940495473718443,32.598118,7.77116e-05,1000,0.009562989,0.0,7.1525574e-07,1565.9981995467097,0.1920523,0.0,648.5154,-1.3432035,1000.0,39,0.83442694,-0.0033393533,1.9949509
