policy-reg-loss,epoch,max-path-return,discriminator_reward-max,last-path-return,discriminator_reward-std,vf-avg,path-length,best_single_option_policy/episode-length-avg,time-total,qf-avg,vf-loss,time-train,time-sample,gmm-mus-mean,discriminator_reward-min,kl-surrogate-loss,log_p_z-std,gmm-mus-std,best_single_option_policy/return-max,qf-min,gmm-mus-max,qf-std,discriminator_reward-avg,log_p_z-avg,pool-size,log_p_z-max,gmm-log-w-std,vf-min,gmm-log-sigs-mean,gmm-log-sigs-min,best_single_option_policy/episode-length-min,qf-max,episodes,z-entropy,best_single_option_policy/return-std,vf-std,best_single_option_policy/episode-length-std,vf-max,best_single_option_policy/return-average,gmm-log-w-mean,discriminator-loss,bellman-error,time-eval,log_p_z-min,gmm-log-w-max,best_single_option_policy/episode-length-max,gmm-mus-min,gmm-log-w-min,gmm-log-sigs-max,gmm-log-sigs-std,best_single_option_policy/return-min
2.214564e-05,0,-6.9047723660033,0.43442202,-6.9047723660033,0.18660419,-0.010408439,1000.0,1000.0,653.2229911722243,-0.18440197,95.23002,0.14439669623970985,1.4957942496985197,0.019426262,-0.5537286,34.442204,7.1525574e-07,0.13482368,-14.465235006312357,-0.970468,0.71380395,0.19720538,0.006620718,-3.9119723,1000,-3.911973,0.1709081,-0.54436386,-0.019702978,-0.6629261,1000,0.13817142,1,3.9120230054281455,0.0,0.21286064,0.0,0.43696195,-14.465235006312357,0.02905497,3.9053524,0.020604338,0,-3.911973,1.1143066,1000,-0.49778962,-0.41638884,0.8381074,0.15921137,-14.465235006312357
4.6647878e-05,1,19.70857675584278,3.9089627,19.70857675584278,0.38870618,146.09167,1000.0,1000.0,677.0504196258262,132.71806,0.6700694,19.900721275247633,1.4988551400601864,-0.03603299,2.3049965,1.0593274,7.1525574e-07,0.092222825,23.019801883272482,121.408554,0.3303154,5.1783657,3.4820971,-3.9119723,2000,-3.911973,0.3613001,134.8993,-0.095977165,-0.61364686,1000,143.05075,2,3.9120230054281455,0.0,4.835395,0.0,156.51144,23.019801883272482,0.07650603,0.42987567,0.34237826,0,-3.911973,0.8565303,1000,-0.34743243,-0.8857962,0.46230894,0.27254486,23.019801883272482
4.7296126e-05,2,19.70857675584278,3.9116917,-7.3036765453815065,0.49253365,272.04333,1000.0,1000.0,699.9874991588295,258.83896,0.6251097,19.08773046731949,1.4487683288753033,-0.020489836,1.6487572,1.1925961,7.1525574e-07,0.07997662,-6.899004536171482,212.70457,0.23918128,28.773697,3.4373643,-3.9119723,3000,-3.911973,0.3830724,223.10902,-0.10374727,-0.5675753,1000,294.88116,3,3.9120230054281455,0.0,28.92593,0.0,310.08618,-6.899004536171482,0.07893903,0.4746086,0.3806585,2.4204634837806225,-3.911973,1.0429555,1000,-0.23460917,-0.6849819,0.41534433,0.2775115,-6.899004536171482
5.1267696e-05,3,19.70857675584278,3.9119718,-18.934194340667943,0.45184895,382.01938,1000.0,1000.0,721.3111800784245,368.67163,0.7248467,17.895475081168115,1.388963787816465,-0.008105868,1.6204643,1.3618171,7.1525574e-07,0.1098575,-27.855388674474035,279.58344,0.43583116,46.886898,3.532885,-3.9119723,4000,-3.911973,0.35693613,296.84238,-0.1000817,-0.58982134,1000,435.02487,4,3.9120230054281455,0.0,47.370674,0.0,449.28607,-27.855388674474035,0.07716787,0.37908775,0.7420367,2.39730485342443,-3.911973,0.75585574,1000,-0.4095689,-0.60548466,0.4157694,0.28352192,-27.855388674474035
5.032631e-05,4,19.70857675584278,3.9119728,-5.128169362978568,0.7249018,498.2695,1000.0,1000.0,743.4799101259559,484.31436,0.70095944,18.430072595365345,1.3561555491760373,-0.013297475,-0.34652615,-0.6931497,7.1525574e-07,0.095102854,-13.492295320538018,356.69913,0.39358735,62.647823,3.2618554,-3.9119723,5000,-3.911973,0.36800113,371.01562,-0.101390444,-0.5750563,1000,560.4814,5,3.9120230054281455,0.0,62.52947,0.0,574.5965,-13.492295320538018,0.08431333,0.6501175,0.6826086,2.047099895775318,-3.911973,0.8061897,1000,-0.3260492,-0.51299375,0.44938242,0.28487054,-13.492295320538018
5.0718772e-05,5,19.70857675584278,3.889717,-0.05526004514053834,0.543732,580.141,1000.0,1000.0,765.8680277578533,565.50354,0.99257064,18.275041626766324,1.4549497244879603,0.0013193021,0.55603576,-1.722807,7.1525574e-07,0.10343994,-4.311981287846917,417.0966,0.45888165,75.66637,3.2977915,-3.9119723,6000,-3.911973,0.31713495,432.93378,-0.10806817,-0.57389724,1000,680.0807,6,3.9120230054281455,0.0,75.360634,0.0,694.1801,-4.311981287846917,0.07722804,0.6141815,0.93600166,2.3934264313429594,-3.911973,0.7396234,1000,-0.325615,-0.39729515,0.50424,0.2811712,-4.311981287846917
5.7965026e-05,6,19.70857675584278,3.8773248,17.320538004246444,0.5390932,660.7213,1000.0,1000.0,789.0373074933887,645.47314,1.669819,19.4777451120317,1.3946544211357832,0.025955271,0.7803583,-3.1740298,7.1525574e-07,0.12074639,21.561830461878913,483.12802,0.57041067,82.26745,3.1940556,-3.9119723,7000,-3.911973,0.3292191,498.29553,-0.11337807,-0.6122321,1000,782.214,7,3.9120230054281455,0.0,81.99367,0.0,796.92114,21.561830461878913,0.07589673,0.71791756,1.2546679,2.639823891222477,-3.911973,0.68207645,1000,-0.25657272,-0.43350577,0.40177605,0.29634792,21.561830461878913
5.8415633e-05,7,19.70857675584278,3.9062676,-1.4638707144486038,0.7573097,747.4131,1000.0,1000.0,810.7210910758004,733.4021,1.2178434,18.147674217820168,1.3609018251299858,-0.00592586,-0.46589422,-0.51182,7.1525574e-07,0.120405875,1.432753526084979,553.84534,0.4681415,87.97611,3.1317239,-3.9119723,8000,-3.911973,0.3380088,568.2577,-0.11305039,-0.6533264,1000,870.82324,8,3.9120230054281455,0.0,87.82089,0.0,885.3351,1.432753526084979,0.049986772,0.78024924,0.72823954,2.299929634667933,-3.911973,0.6122049,1000,-0.25756794,-0.4536865,0.41339755,0.2991959,1.432753526084979
5.628045e-05,8,19.70857675584278,3.9061177,13.512354069264555,0.6817301,814.198,1000.0,1000.0,833.6648780927062,801.8402,2.3280237,19.618889008648694,1.399464638903737,0.012461497,1.0182099,3.191341,7.1525574e-07,0.13515231,-0.7967745858012059,609.0982,0.36188465,95.60204,3.09892,-3.9119723,9000,-3.911973,0.32161075,622.02783,-0.11576651,-0.6282766,1000,960.1733,9,3.9120230054281455,0.0,95.465385,0.0,972.9214,-0.7967745858012059,0.04556155,0.813053,2.106203,2.1735930321738124,-3.911973,0.7077486,1000,-0.34537783,-0.4787717,0.3715733,0.28414363,-0.7967745858012059
6.230424e-05,9,19.70857675584278,3.9111588,10.5146321065614,0.6522864,891.97266,1000.0,1000.0,855.9188365964219,877.7346,1.2359622,18.756724387407303,1.3326563769951463,0.024800748,0.43841076,-1.0405378,7.1525574e-07,0.124958545,4.896486592279897,683.4657,0.3130926,95.10013,3.1547067,-3.9119723,10000,-3.911973,0.3167902,699.006,-0.12906644,-0.64083,1000,1016.2472,10,3.9120230054281455,0.0,94.9192,0.0,1029.4493,4.896486592279897,0.033814885,0.7572664,0.9372868,1.9292137622833252,-3.911973,0.6165222,1000,-0.3143746,-0.6411793,0.53011066,0.3028541,4.896486592279897
6.150335e-05,10,20.41544348988281,3.9021704,20.41544348988281,0.80790466,950.20825,1000.0,1000.0,1348.8974722586572,936.78174,1.8922095,19.035636729560792,1.3352061919867992,0.0038450176,-1.6031733,0.5098867,7.1525574e-07,0.14656626,19.566384581806297,720.6385,0.37591577,95.84833,3.114773,-3.9119723,11000,-3.911973,0.30811825,733.7187,-0.13113597,-0.64582986,1000,1091.5155,11,3.9120230054281455,0.0,96.00706,0.0,1104.8611,19.566384581806297,0.044810835,0.79719996,1.0173436,2.164606662467122,-3.911973,0.62814116,1000,-0.38814694,-0.48337534,0.40810147,0.29036805,19.566384581806297
