best_single_option_policy/episode-length-std,gmm-log-w-min,gmm-mus-std,vf-avg,best_single_option_policy/return-min,gmm-log-w-std,log_p_z-std,discriminator_reward-min,vf-loss,qf-max,gmm-log-sigs-min,epoch,best_single_option_policy/return-std,discriminator_reward-max,max-path-return,log_p_z-max,discriminator-loss,gmm-log-w-max,discriminator_reward-avg,best_single_option_policy/return-max,best_single_option_policy/episode-length-min,policy-reg-loss,z-entropy,path-length,log_p_z-avg,best_single_option_policy/episode-length-max,qf-std,gmm-log-sigs-max,qf-min,vf-max,gmm-log-w-mean,time-total,gmm-mus-mean,bellman-error,vf-std,qf-avg,log_p_z-min,pool-size,gmm-log-sigs-std,discriminator_reward-std,gmm-log-sigs-mean,episodes,time-sample,best_single_option_policy/return-average,best_single_option_policy/episode-length-avg,last-path-return,vf-min,time-train,kl-surrogate-loss,time-eval,gmm-mus-min,gmm-mus-max
0.0,-0.35148042,0.1488551,-0.016257875,-17.09842286077499,0.17537497,7.1525574e-07,-0.5823488,95.12193,0.4787097,-0.6695293,0,0.0,0.45407772,-6.213485965750559,-3.911973,3.901412,1.1151882,0.01056115,-17.09842286077499,1000,2.356528e-05,3.9120230054281455,1000.0,-3.9119723,1000,0.23547693,0.81363434,-0.8203766,0.46765763,0.026022881,471.6457625096664,0.019015685,0.109673634,0.20974433,-0.062055707,-3.911973,1000,0.15667118,0.19739838,-0.0080786375,1,0.9934721142053604,-17.09842286077499,1000.0,-6.213485965750559,-0.532981,0.10149317234754562,35.744946,0,-0.49483693,0.7976522
0.0,-1.152162,0.11068965,118.49942,17.193099957722996,0.35902396,7.1525574e-07,2.3681056,0.25850004,121.74797,-0.5426689,1,0.0,3.9090114,30.5379465433164,-3.911973,0.46597528,1.0365458,3.4459977,17.193099957722996,1000,4.6694116e-05,3.9120230054281455,1000.0,-3.9119723,1000,4.830239,0.3937206,95.3132,132.72829,0.107915916,479.37735879793763,-0.047783785,0.16558114,4.3894105,104.29949,-3.911973,2000,0.2587393,0.32206422,-0.109117925,2,0.7992315636947751,17.193099957722996,1000.0,30.5379465433164,110.24679,5.258816751651466,-0.6254715,0,-0.40104142,0.28912246
0.0,-1.468903,0.07853724,221.59085,36.91409067241625,0.49889436,7.1525574e-07,0.7428999,0.5992983,235.8353,-0.5319487,2,0.0,3.8988197,30.5379465433164,-3.911973,0.66275394,1.1140202,3.249219,36.91409067241625,1000,4.8304155e-05,3.9120230054281455,1000.0,-3.9119723,1000,20.390024,0.43976203,169.3422,248.56981,0.1049991,486.9106459673494,-0.061280124,0.35068384,20.713257,207.19699,-3.911973,3000,0.28020748,0.5793828,-0.09038097,3,0.7803630428388715,36.91409067241625,1000.0,-3.3216157261041426,183.81407,5.253338214941323,-1.1930826,1.6779419910162687,-0.29363096,0.18261477
0.0,-1.2100028,0.08748256,309.87268,25.44809577317445,0.5334315,7.1525574e-07,0.97355986,0.63321936,345.4904,-0.54471004,3,0.0,3.9119713,30.5379465433164,-3.911973,0.3579661,1.0594759,3.554007,25.44809577317445,1000,4.863298e-05,3.9120230054281455,1000.0,-3.9119723,1000,37.15003,0.44575652,228.30443,361.31897,0.0899194,494.7138118632138,-0.05718667,0.39807424,37.19226,295.78143,-3.911973,4000,0.2835568,0.48946443,-0.0770583,4,0.8308181948959827,25.44809577317445,1000.0,-11.179605540178223,242.57895,5.426363151520491,-1.2303097,1.49811986181885,-0.28724018,0.29325607
0.0,-1.4497837,0.10215211,402.5938,-27.571999151893902,0.57227093,7.1525574e-07,0.37433195,0.5614477,448.18768,-0.53542227,4,0.0,3.911972,30.5379465433164,-3.911973,0.66391957,1.222099,3.2480533,-27.571999151893902,1000,5.3115553e-05,3.9120230054281455,1000.0,-3.9119723,1000,47.480255,0.49225897,288.8072,461.41086,0.124091,502.6598799992353,-0.048622362,0.6608092,47.479134,388.60883,-3.911973,5000,0.29564407,0.72596276,-0.07763057,5,0.831887342967093,-27.571999151893902,1000.0,21.997117204659766,303.45825,5.476638023741543,-0.9211192,1.5486682634800673,-0.5100981,0.32294473
0.0,-1.1394099,0.1171808,472.04605,26.045440746474707,0.53173226,7.1525574e-07,0.09880352,1.5012598,532.3934,-0.60617596,5,0.0,3.911971,37.11115894423686,-3.911973,0.49636364,0.9414657,3.4156094,26.045440746474707,1000,5.2171923e-05,3.9120230054281455,1000.0,-3.9119723,1000,54.372574,0.5003307,346.3288,547.41724,0.11505894,510.30662491731346,-0.0027228098,0.54398084,54.776703,457.24402,-3.911973,6000,0.28868356,0.7227257,-0.08524595,6,0.7978999717161059,26.045440746474707,1000.0,37.11115894423686,360.1414,5.2843106854707,-2.0995178,1.636891957372427,-0.30155095,0.3143863
0.0,-0.81453085,0.11671151,540.8866,19.358088464980447,0.44384453,7.1525574e-07,-0.40289116,0.83473337,614.3102,-0.63904727,6,0.0,3.9119725,37.11115894423686,-3.911973,0.5569501,0.79114354,3.355023,19.358088464980447,1000,5.568645e-05,3.9120230054281455,1000.0,-3.9119723,1000,58.54256,0.4565216,403.6228,628.50037,0.11303299,518.4844260811806,0.0056270175,0.7647826,58.284046,525.7615,-3.911973,7000,0.2937849,0.8096903,-0.106818095,7,0.8605304174125195,19.358088464980447,1000.0,28.479909543268377,416.69156,5.571116181090474,-2.0095348,1.5709345629438758,-0.22391625,0.3511507
0.0,-0.71466047,0.12487067,606.7412,-2.251475622053981,0.40771112,7.1525574e-07,0.21327782,1.2897626,686.883,-0.6095193,7,0.0,3.9119718,37.11115894423686,-3.911973,0.67053604,0.7632896,3.241437,-2.251475622053981,1000,5.7977963e-05,3.9120230054281455,1000.0,-3.9119723,1000,70.34284,0.4221492,446.63498,702.069,0.10531866,526.5909655299038,-0.031400673,0.75897956,70.39805,594.1692,-3.911973,8000,0.2963056,0.7928978,-0.10761151,8,0.8558929590508342,-2.251475622053981,1000.0,24.154385578583028,459.95706,5.518565249629319,2.9593406,1.7465992895886302,-0.29148087,0.35787442
0.0,-0.65051425,0.122821406,660.40796,21.633993677164153,0.38368106,7.1525574e-07,-0.088027954,0.693234,755.6108,-0.58102494,8,0.0,3.9119725,37.11115894423686,-3.911973,0.6762373,0.6554391,3.2357357,21.633993677164153,1000,5.662395e-05,3.9120230054281455,1000.0,-3.9119723,1000,80.952484,0.4363336,491.59152,770.5763,0.09221215,534.2575960624963,-0.019923124,0.5465369,81.617935,646.2711,-3.911973,9000,0.29263246,0.7066615,-0.11014572,9,0.7968614343553782,21.633993677164153,1000.0,14.17678996634172,503.74518,5.370932410471141,-1.4246022,1.7337675942108035,-0.33134016,0.31971815
0.0,-0.57105005,0.12172192,722.4995,28.507350029047743,0.3371729,7.1525574e-07,0.6849687,0.9422487,817.42773,-0.6221646,9,0.0,3.9119718,37.11115894423686,-3.911973,0.6606251,0.6270979,3.251348,28.507350029047743,1000,6.101251e-05,3.9120230054281455,1000.0,-3.9119723,1000,82.383934,0.4027864,542.64526,828.2773,0.09906761,542.0135481087491,0.0075166514,0.63353693,82.096344,708.86127,-3.911973,10000,0.30183747,0.5840407,-0.12667446,10,0.7907388620078564,28.507350029047743,1000.0,4.9954932830833005,555.1379,5.378152288496494,0.30773133,1.4952503331005573,-0.28967786,0.45003885
0.0,-0.5611576,0.12018905,764.22473,22.911909482180576,0.3335012,7.1525574e-07,-0.20677423,2.2120018,872.1792,-0.6096649,10,0.0,3.9119709,37.11115894423686,-3.911973,0.876695,0.5502994,3.0352778,22.911909482180576,1000,5.5790668e-05,3.9120230054281455,1000.0,-3.9119723,1000,85.51382,0.4125539,585.43475,884.0494,0.09391083,1018.9532206654549,0.0018898533,1.0133538,85.56749,752.0504,-3.911973,11000,0.28887922,0.8595526,-0.11696646,11,0.7906535044312477,22.911909482180576,1000.0,36.42520563636151,596.4822,5.426304267719388,4.367258,1.5908778542652726,-0.2890951,0.3687303
0.0,-0.4688584,0.09946907,829.4209,34.99460621037465,0.3150644,7.1525574e-07,-0.8969879,0.7495395,921.4102,-0.61274093,11,0.0,3.9119701,37.11115894423686,-3.911973,0.9412852,0.54819816,2.9706876,34.99460621037465,1000,5.318621e-05,3.9120230054281455,1000.0,-3.9119723,1000,83.45768,0.35015124,659.8078,934.2809,0.08973472,1026.5394476652145,0.007301055,0.50466007,83.65165,816.32935,-3.911973,12000,0.2854371,0.9414978,-0.12227294,12,0.795117549598217,34.99460621037465,1000.0,10.236784509922805,674.60144,5.375826567411423,1.844059,470.71466983947903,-0.28629088,0.30679742
0.0,-0.3963021,0.10149075,865.4795,34.80391323622313,0.30990255,7.1525574e-07,0.3417542,0.5269235,963.094,-0.594313,12,0.0,3.911973,37.11115894423686,-3.911973,0.90164167,0.6033142,3.0103314,34.80391323622313,1000,5.514055e-05,3.9120230054281455,1000.0,-3.9119723,1000,77.574036,0.36367196,680.8982,979.4468,0.08594343,1034.2928556157276,0.012376221,0.34916037,77.146324,851.3943,-3.911973,13000,0.29037383,0.76873577,-0.12454148,13,0.827423713169992,34.80391323622313,1000.0,12.202230478446921,692.70154,5.497249963693321,-0.5523921,1.4280106974765658,-0.22676863,0.25750637
0.0,-0.39959142,0.09663373,904.0386,24.91480188994976,0.3039274,7.1525574e-07,0.0008585453,0.7253518,1009.6282,-0.606483,13,0.0,3.9119728,37.11115894423686,-3.911973,0.96994233,0.5215814,2.9420307,24.91480188994976,1000,5.5963108e-05,3.9120230054281455,1000.0,-3.9119723,1000,93.98259,0.36517093,694.59705,1020.59985,0.09313509,1042.1972497086972,0.00067288615,0.4494189,93.955444,890.537,-3.911973,14000,0.29490516,0.80256575,-0.12497448,14,0.8375459620729089,24.91480188994976,1000.0,-0.9458487067491016,706.8079,5.494630571454763,0.2808593,1.4204989410936832,-0.2500057,0.26836637
